kapasitas,nl_loss,tipe_inti,nlc_persen,standar
100,34.736,Amorphous,0.243,0.240
100,38.946,Amorphous,0.197,0.240
100,43.809,Amorphous,0.234,0.240
100,43.293,Amorphous,0.249,0.240
100,40.060,Amorphous,0.197,0.240
100,39.037,Amorphous,0.241,0.240
100,32.702,Amorphous,0.233,0.240
100,33.232,Amorphous,0.224,0.240
100,44.366,Amorphous,0.239,0.240
100,43.074,Amorphous,0.224,0.240
100,37.430,Amorphous,0.245,0.240
100,33.789,Amorphous,0.229,0.240
100,33.419,Amorphous,0.242,0.240
100,35.135,Amorphous,0.237,0.240
100,30.094,Amorphous,0.248,0.240
100,34.784,Amorphous,0.229,0.240
100,41.632,Amorphous,0.248,0.240
100,38.660,Amorphous,0.240,0.240
100,45.712,Amorphous,0.228,0.240
100,44.453,Amorphous,0.217,0.240
100,44.778,Amorphous,0.241,0.240
100,44.035,Amorphous,0.245,0.240
100,47.038,Amorphous,0.222,0.240
100,48.239,Amorphous,0.212,0.240
100,42.828,Amorphous,0.239,0.240
100,41.476,Amorphous,0.232,0.240
100,34.405,Amorphous,0.229,0.240
100,31.571,Amorphous,0.232,0.240
100,34.104,Amorphous,0.217,0.240
100,36.379,Amorphous,0.214,0.240
100,41.836,Amorphous,0.238,0.240
100,30.765,Amorphous,0.237,0.240
100,45.035,Amorphous,0.226,0.240
100,45.845,Amorphous,0.226,0.240
100,30.552,Amorphous,0.224,0.240
100,43.430,Amorphous,0.241,0.240
100,41.939,Amorphous,0.243,0.240
100,42.474,Amorphous,0.240,0.240
100,43.673,Amorphous,0.235,0.240
100,41.772,Amorphous,0.244,0.240
100,44.256,Amorphous,0.236,0.240
100,41.660,Amorphous,0.238,0.240
100,43.734,Amorphous,0.236,0.240
100,42.389,Amorphous,0.258,0.240
100,42.882,Amorphous,0.231,0.240
100,42.659,Amorphous,0.225,0.240
100,44.125,Amorphous,0.247,0.240
100,37.844,Amorphous,0.222,0.240
100,128.830,CRGO,0.324,0.310
100,133.540,CRGO,0.330,0.310
100,128.988,CRGO,0.404,0.310
100,128.988,CRGO,0.404,0.310
100,126.011,CRGO,0.285,0.310
100,126.553,CRGO,0.400,0.310
100,126.100,CRGO,0.402,0.310
100,129.165,CRGO,0.276,0.310
100,128.465,CRGO,0.270,0.310
100,128.224,CRGO,0.335,0.310
100,133.774,CRGO,0.368,0.310
100,130.154,CRGO,0.319,0.310
100,126.432,CRGO,0.419,0.310
100,131.332,CRGO,0.397,0.310
100,127.443,CRGO,0.416,0.310
100,127.041,CRGO,0.270,0.310
100,128.750,CRGO,0.345,0.310
100,129.167,CRGO,0.287,0.310
100,127.972,CRGO,0.357,0.310
100,128.991,CRGO,0.313,0.310
100,127.844,CRGO,0.345,0.310
100,127.498,CRGO,0.357,0.310
100,129.623,CRGO,0.334,0.310
100,130.255,CRGO,0.309,0.310
100,127.998,CRGO,0.301,0.310
100,131.516,CRGO,0.400,0.310
100,133.318,CRGO,0.345,0.310
100,128.799,CRGO,0.339,0.310
100,129.991,CRGO,0.349,0.310
100,126.130,CRGO,0.323,0.310
100,126.421,CRGO,0.374,0.310
100,127.305,CRGO,0.352,0.310
100,125.067,CRGO,0.339,0.310
100,126.797,CRGO,0.341,0.310
100,128.748,CRGO,0.160,0.310
100,127.728,CRGO,0.335,0.310
100,129.754,CRGO,0.312,0.310
100,126.825,CRGO,0.367,0.310
100,129.090,CRGO,0.370,0.310
100,127.468,CRGO,0.377,0.310
100,129.620,CRGO,0.342,0.310
100,128.189,CRGO,0.324,0.310
100,122.708,CRGO,0.337,0.310
100,125.946,CRGO,0.361,0.310
100,129.656,CRGO,0.329,0.310
100,127.880,CRGO,0.335,0.310
100,123.162,CRGO,0.355,0.310
100,126.157,CRGO,0.370,0.310
160,78.481,Amorphous,0.111,0.100
160,74.736,Amorphous,0.098,0.100
160,73.038,Amorphous,0.094,0.100
160,73.568,Amorphous,0.098,0.100
160,72.896,Amorphous,0.109,0.100
160,75.792,Amorphous,0.109,0.100
160,79.671,Amorphous,0.098,0.100
160,82.886,Amorphous,0.107,0.100
160,76.701,Amorphous,0.096,0.100
160,76.149,Amorphous,0.090,0.100
160,71.267,Amorphous,0.094,0.100
160,70.057,Amorphous,0.090,0.100
160,73.603,Amorphous,0.114,0.100
160,72.620,Amorphous,0.116,0.100
160,75.512,Amorphous,0.103,0.100
160,75.286,Amorphous,0.094,0.100
160,74.835,Amorphous,0.093,0.100
160,74.326,Amorphous,0.095,0.100
160,76.037,Amorphous,0.115,0.100
160,74.495,Amorphous,0.116,0.100
160,74.900,Amorphous,0.103,0.100
160,78.420,Amorphous,0.089,0.100
160,76.480,Amorphous,0.097,0.100
160,93.911,Amorphous,0.093,0.100
160,88.273,Amorphous,0.114,0.100
160,81.161,Amorphous,0.126,0.100
160,78.197,Amorphous,0.092,0.100
160,85.924,Amorphous,0.114,0.100
160,83.593,Amorphous,0.093,0.100
160,77.506,Amorphous,0.111,0.100
160,77.519,Amorphous,0.102,0.100
160,75.579,Amorphous,0.093,0.100
160,78.399,Amorphous,0.095,0.100
160,85.873,Amorphous,0.117,0.100
160,76.934,Amorphous,0.097,0.100
160,77.528,Amorphous,0.116,0.100
160,73.284,Amorphous,0.123,0.100
160,75.512,Amorphous,0.106,0.100
160,78.241,Amorphous,0.104,0.100
160,77.699,Amorphous,0.110,0.100
160,76.761,Amorphous,0.105,0.100
160,74.045,Amorphous,0.105,0.100
160,75.620,Amorphous,0.114,0.100
160,74.572,Amorphous,0.091,0.100
160,77.021,Amorphous,0.101,0.100
160,77.340,Amorphous,0.110,0.100
160,84.165,Amorphous,0.090,0.100
160,182.345,CRGO,0.203,0.250
160,189.812,CRGO,0.226,0.250
160,179.087,CRGO,0.209,0.250
160,186.917,CRGO,0.215,0.250
160,185.166,CRGO,0.206,0.250
160,183.587,CRGO,0.200,0.250
160,186.158,CRGO,0.209,0.250
160,181.128,CRGO,0.196,0.250
160,182.387,CRGO,0.204,0.250
160,184.574,CRGO,0.217,0.250
160,182.785,CRGO,0.201,0.250
160,180.698,CRGO,0.200,0.250
160,178.581,CRGO,0.187,0.250
160,184.740,CRGO,0.192,0.250
160,185.187,CRGO,0.198,0.250
160,185.695,CRGO,0.203,0.250
160,183.350,CRGO,0.203,0.250
160,182.466,CRGO,0.195,0.250
160,185.116,CRGO,0.241,0.250
160,194.346,CRGO,0.188,0.250
160,183.803,CRGO,0.208,0.250
160,179.932,CRGO,0.200,0.250
160,183.976,CRGO,0.215,0.250
160,178.278,CRGO,0.197,0.250
160,183.715,CRGO,0.200,0.250
160,179.616,CRGO,0.187,0.250
160,185.109,CRGO,0.201,0.250
160,185.003,CRGO,0.201,0.250
160,183.871,CRGO,0.200,0.250
160,187.178,CRGO,0.193,0.250
160,180.020,CRGO,0.187,0.250
160,185.851,CRGO,0.233,0.250
160,178.278,CRGO,0.217,0.250
160,179.192,CRGO,0.198,0.250
160,180.252,CRGO,0.211,0.250
160,179.279,CRGO,0.203,0.250
160,183.118,CRGO,0.217,0.250
160,180.003,CRGO,0.214,0.250
160,186.132,CRGO,0.216,0.250
160,178.202,CRGO,0.196,0.250
160,178.132,CRGO,0.199,0.250
160,182.250,CRGO,0.206,0.250
160,180.335,CRGO,0.205,0.250
160,183.844,CRGO,0.202,0.250
160,182.244,CRGO,0.208,0.250
160,182.092,CRGO,0.194,0.250
160,181.124,CRGO,0.194,0.250
160,182.995,CRGO,0.199,0.250
250,294.606,CRGO,0.344,0.450
250,272.081,CRGO,0.337,0.450
250,270.374,CRGO,0.338,0.450
250,266.231,CRGO,0.332,0.450
250,273.615,CRGO,0.322,0.450
250,271.663,CRGO,0.314,0.450
250,272.098,CRGO,0.292,0.450
250,270.040,CRGO,0.300,0.450
250,269.045,CRGO,0.336,0.450
250,289.976,CRGO,0.337,0.450
250,271.550,CRGO,0.310,0.450
250,293.484,CRGO,0.305,0.450
250,272.208,CRGO,0.300,0.450
250,285.839,CRGO,0.323,0.450
250,272.254,CRGO,0.304,0.450
250,267.826,CRGO,0.313,0.450
250,274.135,CRGO,0.309,0.450
250,287.430,CRGO,0.301,0.450
250,285.863,CRGO,0.254,0.450
250,271.449,CRGO,0.292,0.450
250,278.836,CRGO,0.323,0.450
250,280.834,CRGO,0.314,0.450
250,275.445,CRGO,0.305,0.450
250,275.066,CRGO,0.308,0.450
250,275.145,CRGO,0.295,0.450
250,270.469,CRGO,0.281,0.450
250,267.994,CRGO,0.317,0.450
250,271.273,CRGO,0.287,0.450
250,272.185,CRGO,0.311,0.450
250,268.967,CRGO,0.298,0.450
250,273.504,CRGO,0.317,0.450
250,270.780,CRGO,0.312,0.450
250,268.800,CRGO,0.296,0.450
250,267.125,CRGO,0.315,0.450
250,270.746,CRGO,0.310,0.450
250,275.727,CRGO,0.313,0.450
250,268.555,CRGO,0.314,0.450
250,270.115,CRGO,0.318,0.450
250,268.336,CRGO,0.306,0.450
250,260.016,CRGO,0.313,0.450
250,263.757,CRGO,0.305,0.450
250,267.050,CRGO,0.305,0.450
250,270.389,CRGO,0.303,0.450
250,277.790,CRGO,0.290,0.450
250,276.610,CRGO,0.281,0.450
250,287.317,CRGO,0.319,0.450
250,268.184,CRGO,0.307,0.450
250,271.573,CRGO,0.301,0.450
400,392.895,CRGO,0.147,0.180
400,389.376,CRGO,0.138,0.180
400,390.519,CRGO,0.136,0.180
400,383.953,CRGO,0.156,0.180
400,385.247,CRGO,0.151,0.180
400,388.655,CRGO,0.141,0.180
400,392.922,CRGO,0.147,0.180
400,393.405,CRGO,0.139,0.180
400,392.466,CRGO,0.138,0.180
400,387.196,CRGO,0.139,0.180
400,390.118,CRGO,0.145,0.180
400,387.855,CRGO,0.143,0.180
400,393.937,CRGO,0.142,0.180
400,389.939,CRGO,0.137,0.180
400,388.610,CRGO,0.136,0.180
400,384.343,CRGO,0.145,0.180
400,391.297,CRGO,0.138,0.180
400,391.597,CRGO,0.143,0.180
400,388.832,CRGO,0.142,0.180
400,384.783,CRGO,0.132,0.180
400,406.776,CRGO,0.159,0.180
400,414.049,CRGO,0.172,0.180
400,412.495,CRGO,0.172,0.180
400,401.822,CRGO,0.161,0.180
400,402.606,CRGO,0.158,0.180
400,384.134,CRGO,0.135,0.180
400,397.153,CRGO,0.166,0.180
400,385.080,CRGO,0.141,0.180
400,386.597,CRGO,0.135,0.180
400,381.338,CRGO,0.137,0.180
400,383.474,CRGO,0.138,0.180
400,396.523,CRGO,0.154,0.180
400,388.994,CRGO,0.139,0.180
400,384.243,CRGO,0.144,0.180
400,387.133,CRGO,0.139,0.180
400,381.758,CRGO,0.131,0.180
400,388.082,CRGO,0.142,0.180
400,381.686,CRGO,0.142,0.180
400,367.451,CRGO,0.147,0.180
400,389.308,CRGO,0.138,0.180
400,384.583,CRGO,0.143,0.180
400,384.459,CRGO,0.143,0.180
400,380.712,CRGO,0.141,0.180
400,386.915,CRGO,0.145,0.180
400,386.805,CRGO,0.142,0.180
400,381.328,CRGO,0.141,0.180
400,383.084,CRGO,0.145,0.180
400,384.881,CRGO,0.142,0.180
630,553.423,CRGO,0.119,0.140
630,551.144,CRGO,0.114,0.140
630,543.663,CRGO,0.111,0.140
630,560.671,CRGO,0.136,0.140
630,547.034,CRGO,0.112,0.140
630,545.293,CRGO,0.115,0.140
630,537.847,CRGO,0.113,0.140
630,562.142,CRGO,0.118,0.140
630,559.241,CRGO,0.132,0.140
630,560.567,CRGO,0.126,0.140
630,554.469,CRGO,0.124,0.140
630,570.473,CRGO,0.127,0.140
630,575.018,CRGO,0.132,0.140
630,548.871,CRGO,0.111,0.140
630,564.172,CRGO,0.114,0.140
630,546.446,CRGO,0.115,0.140
630,557.059,CRGO,0.112,0.140
630,543.037,CRGO,0.117,0.140
630,549.873,CRGO,0.116,0.140
630,561.101,CRGO,0.115,0.140
630,539.314,CRGO,0.114,0.140
630,552.377,CRGO,0.124,0.140
630,541.628,CRGO,0.113,0.140
630,572.348,CRGO,0.119,0.140
630,541.798,CRGO,0.110,0.140
630,540.708,CRGO,0.111,0.140
630,542.545,CRGO,0.111,0.140
630,550.131,CRGO,0.113,0.140
630,544.920,CRGO,0.110,0.140
630,545.238,CRGO,0.117,0.140
630,546.043,CRGO,0.112,0.140
630,551.041,CRGO,0.117,0.140
630,576.777,CRGO,0.131,0.140
630,550.454,CRGO,0.115,0.140
630,551.408,CRGO,0.115,0.140
630,569.490,CRGO,0.125,0.140
630,561.515,CRGO,0.124,0.140
630,566.387,CRGO,0.122,0.140
630,561.707,CRGO,0.124,0.140
630,567.802,CRGO,0.135,0.140
630,541.924,CRGO,0.115,0.140
630,565.048,CRGO,0.127,0.140
630,581.306,CRGO,0.125,0.140
630,561.787,CRGO,0.130,0.140
630,545.160,CRGO,0.113,0.140
630,558.043,CRGO,0.128,0.140
630,556.895,CRGO,0.135,0.140
630,584.151,CRGO,0.122,0.140
